run_id,algorithm,query_index,query_id,chosen_model,actual_reward,optimal_reward,step_regret,cumulative_regret
0,random,0,989,phi-4-mini-4b,0.9471634817349219,0.9517324209932523,0.004568939258330351,0.004568939258330351
0,epsilon_greedy,0,989,qwen2.5-14b,0.7671471387347684,0.9517324209932523,0.18458528225848392,0.18458528225848392
0,random,1,1778,qwen2.5-14b,0.8749356674294867,0.9630570531769322,0.08812138574744555,0.0926903250057759
0,epsilon_greedy,1,1778,gemma-3-27b,0.7491362447888366,0.9630570531769322,0.21392080838809568,0.3985060906465796
0,random,2,445,gemma-3-12b,0.9337723038702388,0.9678318019125137,0.03405949804227493,0.12674982304805082
0,epsilon_greedy,2,445,llama-3.2-3b,0.4663358421362355,0.9678318019125137,0.5014959597762783,0.9000020504228579
0,random,3,1696,gemma-3-1b,0.41267649769511106,0.9660788101769671,0.553402312481856,0.6801521355299068
0,epsilon_greedy,3,1696,phi-4-mini-4b,0.9472143752687648,0.9660788101769671,0.01886443490820222,0.9188664853310601
0,random,4,459,gemma-3-27b,0.7514281865507937,0.9599023978545373,0.20847421130374366,0.8886263468336505
0,epsilon_greedy,4,459,qwen2.5-0.5b,0.4583625670673015,0.9599023978545373,0.5015398307872359,1.4204063161182958
0,random,5,304,qwen2.5-0.5b,0.9777219171909466,0.9777219171909466,0.0,0.8886263468336505
0,epsilon_greedy,5,304,gemma-3-27b,0.341100626674427,0.9777219171909466,0.6366212905165196,2.0570276066348154
0,random,6,1980,llama-3.2-3b,0.4996977431171645,0.9794452290095221,0.47974748589235766,1.3683738327260082
0,epsilon_greedy,6,1980,phi-4-mini-4b,0.9472540878729689,0.9794452290095221,0.03219114113655319,2.0892187477713686
0,random,7,893,gemma-3-4b,0.9089073077520463,0.9556744295327255,0.04676712178067921,1.4151409545066873
0,epsilon_greedy,7,893,qwen2.5-14b,0.7879821643988406,0.9556744295327255,0.1676922651338849,2.2569110129052534
0,random,8,1673,phi-4-mini-4b,0.4374114424075996,0.9746106078935157,0.5371991654859161,1.9523401199926034
0,epsilon_greedy,8,1673,llama-3.1-8b,0.4169254234641395,0.9746106078935157,0.5576851844293762,2.81459619733463
0,random,9,1722,qwen2.5-7b,0.3935971057966799,0.9541597208297796,0.5605626150330998,2.512902735025703
0,epsilon_greedy,9,1722,llama-3.1-8b,0.9173670162709144,0.9541597208297796,0.036792704558865186,2.851388901893495
0,random,10,2368,qwen2.5-0.5b,0.7762360598591105,0.8152051705206185,0.03896911066150799,2.551871845687211
0,epsilon_greedy,10,2368,qwen2.5-1.5b,0.7164789479401096,0.8152051705206185,0.0987262225805089,2.950115124474004
0,random,11,2167,qwen2.5-14b,0.717628815150696,0.7531749362058235,0.035546121055127555,2.587417966742339
0,epsilon_greedy,11,2167,qwen2.5-14b,0.717628815150696,0.7531749362058235,0.035546121055127555,2.9856612455291316
0,random,12,2312,gemma-3-27b,0.5730790718338751,0.7108261265163318,0.13774705468245674,2.7251650214247953
0,epsilon_greedy,12,2312,gemma-3-1b,0.6834850124187587,0.7108261265163318,0.027341114097573116,3.0130023596267046
0,random,13,859,phi-4-mini-4b,0.9858432791001331,0.9888525448568583,0.00300926575672511,2.7281742871815204
0,epsilon_greedy,13,859,llama-3.1-8b,0.9607575823173258,0.9888525448568583,0.028094962539532475,3.041097322166237
0,random,14,1365,qwen2.5-14b,0.8442643513781352,0.9392411313977351,0.09497678001959997,2.8231510672011204
0,epsilon_greedy,14,1365,qwen2.5-0.5b,0.47127480379033737,0.9392411313977351,0.46796632760739776,3.5090636497736347
0,random,15,2407,mistral-7b,0.7623624101885864,0.7948995692808578,0.032537159092271395,2.855688226293392
0,epsilon_greedy,15,2407,gemma-3-1b,0.6600211752157669,0.7948995692808578,0.13487839406509095,3.6439420438387256
0,random,16,239,llama-3.1-8b,0.933919430162101,0.959555113480465,0.025635683318363967,2.8813239096117558
0,epsilon_greedy,16,239,gemma-3-1b,0.42540807808042513,0.959555113480465,0.5341470354000398,4.178089079238766
0,random,17,1718,qwen2.5-1.5b,0.4889650399649553,0.9485838974403853,0.45961885747543,3.340942767087186
0,epsilon_greedy,17,1718,mistral-7b,0.4413713818651542,0.9485838974403853,0.5072125155752312,4.685301594813997
0,random,18,552,gemma-3-4b,0.4635883368963548,0.9743049925467919,0.5107166556504371,3.8516594227376233
0,epsilon_greedy,18,552,qwen2.5-3b,0.9697605652926743,0.9743049925467919,0.004544427254117633,4.689846022068115
0,random,19,1883,llama-3.1-8b,0.9162261757415682,0.9805110908989267,0.06428491515735857,3.915944337894982
0,epsilon_greedy,19,1883,qwen2.5-3b,0.4370902960996267,0.9805110908989267,0.5434207947993,5.233266816867414
0,random,20,1714,qwen2.5-0.5b,0.4715244633209578,0.9162868222659737,0.44476235894501587,4.360706696839998
0,epsilon_greedy,20,1714,gemma-3-27b,0.7152403232297226,0.9162868222659737,0.20104649903625105,5.434313315903665
0,random,21,416,qwen2.5-1.5b,0.9606633720409204,0.9625250310221423,0.0018616589812218143,4.362568355821219
0,epsilon_greedy,21,416,qwen2.5-7b,0.9113941005255041,0.9625250310221423,0.051130930496638194,5.485444246400304
0,random,22,604,phi-4-14b,0.39323912884823625,0.9963555565148199,0.6031164276665837,4.965684783487803
0,epsilon_greedy,22,604,gemma-3-1b,0.47626672847716406,0.9963555565148199,0.5200888280376559,6.00553307443796
0,random,23,28,qwen2.5-14b,0.9446652082188673,0.9936104820180707,0.048945273799203326,5.014630057287007
0,epsilon_greedy,23,28,gemma-3-12b,0.9810337782664473,0.9936104820180707,0.012576703751623342,6.018109778189583
0,random,24,1432,llama-3.1-8b,0.9087719368725506,0.9659931252838552,0.057221188411304524,5.071851245698311
0,epsilon_greedy,24,1432,qwen2.5-1.5b,0.4610590791975904,0.9659931252838552,0.5049340460862648,6.523043824275848
